"url","Title link","Title link_link","Locality value","Normprice value","Labelbinding values"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 3+kk 78 m²","https://www.sreality.cz/detail/prodej/byt/3+kk/praha-liben-pod-labutkou/3997159772","Pod Labuťkou, Praha 8 - Libeň","4 700 000 Kč","Novostavba"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 3+kk 63 m²","https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zlicin-sazovicka/254857564","Sazovická, Praha 5 - Zličín","4 600 000 Kč","Terasa; Garáž"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 2+kk 61 m²","https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vrsovice-28--pluku/3373257052","28. pluku, Praha 10 - Vršovice","4 750 000 Kč","Novostavba; Terasa"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 3+1 72 m²","https://www.sreality.cz/detail/prodej/byt/3+1/praha-troja-krynicka/3381776732","Krynická, Praha 8 - Troja","3 120 000 Kč","Družstevní"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 2+kk 51 m²","https://www.sreality.cz/detail/prodej/byt/2+kk/praha-kobylisy-tanvaldska/1901252956","Tanvaldská, Praha - Kobylisy","2 850 000 Kč","Po rekonstrukci; Částečně vybavený"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 3+kk 60 m²","https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vrsovice-jakutska/631296348","Jakutská, Praha 10 - Vršovice","4 950 000 Kč",""
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 3+1 80 m²","https://www.sreality.cz/detail/prodej/byt/3+1/praha-kobylisy-trebenicka/1179836764","Třebenická, Praha 8 - Kobylisy","3 990 000 Kč","Družstevní; Tramvaj 2 min. pěšky; Obchod 4 min. pěšky"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 2+kk 44 m²","https://www.sreality.cz/detail/prodej/byt/2+kk/praha-dablice-dablicka/99537244","Ďáblická, Praha 8 - Ďáblice","3 216 000 Kč","Ve výstavbě; Parkování"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 3+1 117 m²","https://www.sreality.cz/detail/prodej/byt/3+1/praha-mala-strana-mostecka/4098707548","Mostecká, Praha - Malá Strana","Info o ceně u RK","Po rekonstrukci; Bus 3 min. pěšky; Obchod 4 min. pěšky"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 3+1 76 m²","https://www.sreality.cz/detail/prodej/byt/3+1/praha-vrsovice-vrsovicka/3183268188","Vršovická, Praha 10 - Vršovice","4 320 000 Kč","Družstevní; Částečně vybavený"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 3+kk 68 m²","https://www.sreality.cz/detail/prodej/byt/3+kk/praha-nusle-ciklova/1086378332","Čiklova, Praha 2 - Nusle","4 900 000 Kč",""
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 3+kk 75 m²","https://www.sreality.cz/detail/prodej/byt/3+kk/praha-repy-spanielova/2473054556","Španielova, Praha 6 - Řepy","3 790 000 Kč","Panelová; Vybavený"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 3+kk 77 m²","https://www.sreality.cz/detail/prodej/byt/3+kk/praha-repy-galandova/2959593820","Galandova, Praha 6 - Řepy","3 590 000 Kč","Po rekonstrukci; Lodžie; Panelová"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 2+kk 54 m²","https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zlicin-lipovska/2307252572","Lipovská, Praha 5 - Zličín","3 790 000 Kč","Parkování; Částečně vybavený"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 3+1 83 m²","https://www.sreality.cz/detail/prodej/byt/3+1/praha-bohnice-vratislavska/856088924","Vratislavská, Praha 8 - Bohnice","2 150 000 Kč","Družstevní; Panelová; Nevybavený"
